Date of Breach,Organization,Country,Industry,Type of Breach,Data Compromised,People Affected,Cause,Measures Taken,Attack Vector,Duration of Breach (Days),Detection Method,Time to Contain (Days),Financial Impact (Million $),Legal Actions Taken,Regulatory Fines (Million $),Compensation to Users,Public Trust Impact,Employee Involvement,Encryption Status,Third-party Involvement,CISO Resignation,Stock Price Impact (%),Lawsuits Filed,Recovery Cost (Million $),Breach Announced,User Notification
2013-03-19,Uber,USA,Healthcare,Insider Threat,Emails,9002191,Insider Threat,Public Disclosure,Social Engineering,2574,Internal Audit,47,255.22,No,27.16,No,Low,None,Unencrypted,Yes,No,-22.83,66,75.51,Delayed,Not Notified
2024-10-12,Equifax,UK,Healthcare,Weak Passwords,"Credit Cards, Passwords, Phone Numbers",6736254,Weak Passwords,Public Disclosure,Social Engineering,702,Law Enforcement,44,334.15,No,43.92,No,High,Malicious,Partially Encrypted,Yes,No,-27.98,99,247.66,Immediately,Press Release
2011-04-29,Adobe,India,Healthcare,Ransomware,"Medical Records, Emails, Passwords",8809598,Ransomware,Legal Action,API Vulnerability,1560,User Report,42,327.11,Yes,21.57,No,High,Accidental,Partially Encrypted,No,No,-39.44,58,277.01,Never Disclosed,SMS
2020-02-28,LinkedIn,Canada,Technology,Insider Threat,"Emails, Usernames, Credit Cards",1880083,Insider Threat,Increased Monitoring,Web Exploit,2083,User Report,25,409.37,Yes,30.47,No,High,Accidental,Unencrypted,No,Yes,1.02,56,234.17,Delayed,Press Release
2011-10-10,Target,Canada,Finance,Weak Passwords,"Emails, Usernames",2549921,Weak Passwords,Fined,Web Exploit,76,Security Tool,73,265.09,Yes,20.53,Yes,Low,None,Unencrypted,No,Yes,-37.09,93,244.11,Immediately,Email
2014-12-14,Target,Canada,Hospitality,Phishing,"Phone Numbers, Credit Cards, Emails",1032026,Phishing,Public Disclosure,Email,1923,Law Enforcement,33,158.91,Yes,23.0,No,Medium,None,Unencrypted,No,No,-7.48,67,283.49,Delayed,Email
2018-01-11,Target,France,Hospitality,Weak Passwords,SSNs,9160229,Weak Passwords,Increased Monitoring,Cloud Misconfig,2797,Security Tool,75,120.37,Yes,5.95,No,Medium,None,Encrypted,Yes,No,-47.94,1,62.0,Immediately,Press Release
2015-04-20,Twitter,China,Finance,Malware,Passwords,6630040,Malware,Public Disclosure,Email,56,User Report,18,47.47,Yes,0.93,Yes,Medium,Malicious,Partially Encrypted,No,No,-18.52,73,238.82,Delayed,Not Notified
2011-09-21,Uber,Brazil,Government,Malware,"Usernames, SSNs, Emails",8176051,Malware,Public Disclosure,USB Drive,788,Security Tool,69,322.2,Yes,12.68,No,Medium,Malicious,Unencrypted,No,No,-28.64,20,124.28,Never Disclosed,SMS
2013-08-21,Marriott,Brazil,Finance,Phishing,"Emails, Medical Records, Credit Cards",1902194,Phishing,Legal Action,Social Engineering,3239,Security Tool,2,394.42,No,9.45,No,High,Accidental,Partially Encrypted,No,No,-1.19,99,97.55,Immediately,Email
2009-05-08,Yahoo,France,Retail,Malware,"Credit Cards, Emails, Passwords",6507547,Malware,Customer Compensation,USB Drive,655,Internal Audit,18,149.96,Yes,10.16,No,Low,None,Encrypted,Yes,No,-11.13,98,76.69,Never Disclosed,Press Release
2012-12-30,Yahoo,India,Retail,Phishing,"Phone Numbers, Passwords",9206967,Phishing,Security Patch,Email,2175,Law Enforcement,85,491.38,Yes,37.32,No,Medium,Malicious,Encrypted,No,No,-4.63,51,61.39,Immediately,SMS
2019-07-01,Yahoo,USA,Government,Unpatched Software,"Phone Numbers, Usernames, Passwords",2913829,Unpatched Software,Fined,USB Drive,1593,Security Tool,48,74.43,Yes,8.52,Yes,High,None,Partially Encrypted,No,Yes,6.98,43,92.94,Never Disclosed,SMS
2023-07-17,Yahoo,UK,Telecom,Unpatched Software,Emails,6991702,Unpatched Software,Customer Compensation,Email,3624,Internal Audit,93,111.04,Yes,20.95,Yes,Low,None,Encrypted,No,Yes,-43.41,70,286.11,Immediately,Not Notified
2008-09-28,Google,China,Healthcare,Weak Passwords,"SSNs, Usernames, Passwords",2207983,Weak Passwords,Increased Monitoring,USB Drive,1751,User Report,33,383.92,No,6.4,No,Medium,None,Unencrypted,Yes,Yes,4.36,57,83.0,Never Disclosed,Press Release
2000-03-05,Google,China,Telecom,Insider Threat,"Passwords, Usernames",8485639,Insider Threat,Customer Compensation,USB Drive,2621,Internal Audit,49,75.36,Yes,2.35,Yes,Medium,None,Encrypted,No,No,-34.75,82,171.11,Immediately,Press Release
2006-08-28,Marriott,Brazil,Education,Ransomware,"Medical Records, Phone Numbers, SSNs",9542753,Ransomware,Fined,Cloud Misconfig,1613,Law Enforcement,9,362.02,Yes,23.58,Yes,High,Malicious,Partially Encrypted,Yes,No,-29.03,33,44.05,Immediately,Not Notified
2005-08-12,LinkedIn,France,Telecom,Unpatched Software,"Passwords, SSNs, Usernames",8281275,Unpatched Software,Public Disclosure,USB Drive,1726,Internal Audit,2,140.44,No,0.24,Yes,Low,Malicious,Partially Encrypted,Yes,Yes,-24.64,70,236.97,Immediately,Email
2021-08-08,Google,Canada,Finance,Ransomware,Passwords,5549108,Ransomware,Fined,API Vulnerability,1133,Law Enforcement,36,139.45,Yes,22.76,No,Medium,Malicious,Partially Encrypted,No,Yes,-34.72,7,135.86,Delayed,Press Release
2014-01-01,Adobe,USA,Telecom,Insider Threat,"Credit Cards, SSNs, Phone Numbers",9238270,Insider Threat,Increased Monitoring,Email,2174,User Report,21,11.4,No,49.98,Yes,Low,Accidental,Unencrypted,Yes,No,-46.58,96,23.26,Delayed,Not Notified
2018-03-11,Adobe,Russia,Government,Ransomware,"Emails, Phone Numbers, SSNs",9094483,Ransomware,Fined,Social Engineering,905,Internal Audit,96,455.76,Yes,47.62,No,High,Malicious,Encrypted,No,Yes,-45.0,84,31.0,Never Disclosed,SMS
2022-07-08,LinkedIn,France,Education,Unpatched Software,"Emails, SSNs, Usernames",7557824,Unpatched Software,Legal Action,USB Drive,1312,Law Enforcement,17,309.35,No,16.52,No,Low,Accidental,Partially Encrypted,Yes,No,9.27,25,131.9,Delayed,SMS
2009-04-12,Target,UK,Finance,Insider Threat,Credit Cards,8342852,Insider Threat,Legal Action,Cloud Misconfig,1338,Security Tool,56,265.09,No,12.36,No,High,None,Partially Encrypted,No,Yes,-2.02,45,205.07,Immediately,SMS
2001-03-02,Yahoo,Germany,Technology,Phishing,"Medical Records, Usernames",6174231,Phishing,Public Disclosure,Cloud Misconfig,2195,Law Enforcement,80,256.62,Yes,40.96,Yes,Medium,Malicious,Unencrypted,No,Yes,7.65,34,274.57,Delayed,Press Release
2017-04-06,Facebook,China,Technology,Phishing,"Passwords, SSNs, Phone Numbers",2123904,Phishing,Public Disclosure,Social Engineering,3439,Security Tool,84,162.91,No,34.54,Yes,High,None,Unencrypted,Yes,Yes,-31.45,56,75.08,Immediately,Not Notified
2010-05-28,Facebook,France,Healthcare,Phishing,"Phone Numbers, Medical Records",8143122,Phishing,Legal Action,Web Exploit,1032,Security Tool,10,199.19,No,19.56,No,Medium,Malicious,Encrypted,No,Yes,-4.04,95,13.44,Immediately,Press Release
2020-05-26,Yahoo,India,Technology,Malware,Medical Records,5785808,Malware,Increased Monitoring,Cloud Misconfig,768,Security Tool,84,427.22,No,15.7,Yes,Low,Accidental,Partially Encrypted,No,No,-30.94,6,96.15,Delayed,Email
2021-08-27,Google,Germany,Retail,Insider Threat,"Passwords, Usernames, Emails",3338579,Insider Threat,Customer Compensation,API Vulnerability,2634,Internal Audit,98,351.31,No,20.75,No,Medium,None,Partially Encrypted,No,Yes,-37.01,82,244.11,Delayed,Not Notified
2022-01-18,Adobe,Russia,Finance,Ransomware,"Medical Records, Emails, Passwords",7821539,Ransomware,Public Disclosure,Social Engineering,2324,External Report,87,8.98,No,37.35,Yes,Low,Accidental,Partially Encrypted,No,Yes,3.94,73,246.5,Never Disclosed,SMS
2010-06-12,Equifax,Brazil,Government,Data Leak,Medical Records,1247662,Data Leak,Public Disclosure,API Vulnerability,2852,Law Enforcement,81,299.73,No,38.96,Yes,Low,Malicious,Partially Encrypted,No,Yes,-24.85,93,284.86,Never Disclosed,SMS
2023-02-26,Uber,Brazil,Government,Unpatched Software,Passwords,8135528,Unpatched Software,Increased Monitoring,API Vulnerability,995,User Report,40,43.95,No,43.14,No,Low,None,Unencrypted,No,No,9.1,4,280.29,Immediately,Email
2008-02-04,Yahoo,Germany,Government,Unpatched Software,Emails,2732222,Unpatched Software,Legal Action,Cloud Misconfig,3080,Security Tool,93,162.72,Yes,16.52,Yes,High,Accidental,Unencrypted,No,Yes,-16.38,35,208.93,Delayed,Press Release
2019-10-18,Target,Brazil,Education,Ransomware,Credit Cards,1929409,Ransomware,Customer Compensation,USB Drive,2783,User Report,7,493.09,No,8.03,No,High,Accidental,Partially Encrypted,No,No,-13.11,34,116.31,Delayed,Press Release
2021-03-08,LinkedIn,USA,Government,Insider Threat,"Medical Records, Phone Numbers",2757542,Insider Threat,Increased Monitoring,Web Exploit,1959,User Report,30,443.61,Yes,39.82,No,Low,Malicious,Encrypted,No,Yes,-45.44,42,233.0,Never Disclosed,SMS
2022-11-06,Google,Australia,Government,Phishing,"Credit Cards, Medical Records, SSNs",9030042,Phishing,Increased Monitoring,USB Drive,213,User Report,97,235.12,Yes,43.87,No,Low,Accidental,Encrypted,No,No,-19.59,43,32.08,Never Disclosed,Not Notified
2002-12-31,Equifax,Germany,Finance,Weak Passwords,"Credit Cards, SSNs",8171429,Weak Passwords,Customer Compensation,Email,2039,Security Tool,28,454.17,No,5.81,No,Low,Malicious,Partially Encrypted,No,No,-0.51,31,111.2,Never Disclosed,SMS
2024-04-09,Twitter,Canada,Education,Malware,"SSNs, Passwords",4858345,Malware,Security Patch,Email,2807,User Report,70,177.59,No,48.72,No,Medium,Malicious,Unencrypted,No,No,5.62,75,199.87,Never Disclosed,Email
2005-09-27,Target,Brazil,Hospitality,Data Leak,"Usernames, Phone Numbers",1896245,Data Leak,Increased Monitoring,API Vulnerability,3121,Law Enforcement,77,384.36,No,15.16,Yes,Medium,None,Encrypted,No,Yes,-46.56,7,117.27,Immediately,Not Notified
2020-10-03,Adobe,Brazil,Technology,Weak Passwords,SSNs,1467743,Weak Passwords,Fined,USB Drive,1032,Security Tool,25,144.04,No,22.87,Yes,Low,None,Unencrypted,Yes,Yes,-25.53,85,216.91,Never Disclosed,Not Notified
2016-02-01,Equifax,China,Education,Phishing,Credit Cards,489204,Phishing,Customer Compensation,Social Engineering,915,User Report,14,380.49,No,46.34,Yes,Medium,Accidental,Encrypted,No,Yes,-39.17,76,253.61,Immediately,Email
2020-11-19,Twitter,China,Finance,Insider Threat,Passwords,1739892,Insider Threat,Legal Action,Email,1294,Security Tool,69,319.05,Yes,11.43,Yes,Low,Accidental,Encrypted,No,No,-12.78,46,275.3,Immediately,Press Release
2014-08-16,LinkedIn,France,Technology,Unpatched Software,Passwords,5190169,Unpatched Software,Security Patch,Email,177,Law Enforcement,42,237.94,Yes,40.13,Yes,High,Malicious,Encrypted,Yes,Yes,-7.43,92,51.22,Never Disclosed,Email
2006-12-07,Equifax,Russia,Government,Unpatched Software,"Phone Numbers, Credit Cards, Emails",7042126,Unpatched Software,Fined,Cloud Misconfig,2919,Law Enforcement,12,316.67,Yes,5.37,No,High,Accidental,Encrypted,No,Yes,-41.94,6,39.33,Delayed,Press Release
2015-10-02,Marriott,Canada,Technology,Insider Threat,"SSNs, Medical Records, Credit Cards",558945,Insider Threat,Fined,API Vulnerability,2634,Internal Audit,52,249.24,No,27.42,No,High,Malicious,Unencrypted,No,No,-6.77,54,159.9,Immediately,Email
2001-09-12,Google,Germany,Telecom,Malware,"SSNs, Credit Cards, Passwords",5917136,Malware,Public Disclosure,Cloud Misconfig,761,User Report,87,337.53,No,12.21,Yes,Low,Malicious,Partially Encrypted,No,No,-0.36,46,250.06,Immediately,Press Release
2004-02-01,Yahoo,France,Telecom,Data Leak,"Medical Records, Emails",6887046,Data Leak,Security Patch,API Vulnerability,1808,Law Enforcement,42,441.34,No,5.82,Yes,Medium,None,Unencrypted,Yes,Yes,-0.31,66,213.32,Delayed,SMS
2007-08-05,Equifax,Canada,Technology,Data Leak,"SSNs, Medical Records",8250500,Data Leak,Public Disclosure,USB Drive,1052,Security Tool,30,104.38,No,8.86,No,Low,Accidental,Partially Encrypted,No,No,-37.68,68,65.19,Delayed,SMS
2000-11-18,Uber,Canada,Technology,Malware,SSNs,9834314,Malware,Legal Action,Social Engineering,2114,User Report,95,132.75,No,25.24,No,High,None,Partially Encrypted,No,No,-46.04,43,162.56,Delayed,Press Release
2014-04-11,Uber,Canada,Government,Malware,SSNs,1160813,Malware,Fined,Email,78,Law Enforcement,58,426.06,No,11.35,No,Medium,None,Encrypted,No,No,-46.55,42,183.03,Delayed,Press Release
2007-05-12,Facebook,Russia,Technology,Malware,Phone Numbers,392392,Malware,Increased Monitoring,Social Engineering,1705,External Report,76,414.7,Yes,31.78,Yes,High,None,Partially Encrypted,No,No,-19.86,41,257.26,Never Disclosed,Not Notified
2022-05-16,Yahoo,Germany,Retail,Ransomware,"SSNs, Passwords",7362643,Ransomware,Fined,Email,2755,External Report,43,323.54,Yes,19.6,Yes,Low,None,Unencrypted,No,No,-17.67,72,90.62,Immediately,Not Notified
2000-10-05,Adobe,France,Education,Data Leak,"Usernames, Phone Numbers, Passwords",5922152,Data Leak,Legal Action,Web Exploit,2747,Internal Audit,68,450.16,Yes,13.24,No,High,Malicious,Partially Encrypted,Yes,No,-33.58,56,265.37,Never Disclosed,Press Release
2010-05-25,Adobe,India,Government,Phishing,"Medical Records, Emails",947011,Phishing,Customer Compensation,API Vulnerability,747,Internal Audit,10,170.75,Yes,15.16,Yes,Medium,None,Encrypted,No,Yes,-24.85,87,90.65,Immediately,Email
2021-01-06,Target,Germany,Retail,Insider Threat,Phone Numbers,4219465,Insider Threat,Security Patch,Social Engineering,430,Security Tool,69,129.64,Yes,16.24,No,Medium,None,Encrypted,Yes,Yes,-7.58,31,173.33,Immediately,Email
2024-05-05,LinkedIn,UK,Healthcare,Data Leak,Usernames,7194006,Data Leak,Security Patch,USB Drive,532,Security Tool,46,270.65,No,34.39,No,Low,None,Encrypted,Yes,Yes,-6.25,76,149.53,Delayed,SMS
2016-08-24,Uber,France,Telecom,Malware,"Emails, Medical Records",9231904,Malware,Legal Action,Social Engineering,334,External Report,21,42.44,No,32.67,No,Medium,Accidental,Unencrypted,No,Yes,-28.63,40,215.4,Immediately,Press Release
2009-06-17,Adobe,Russia,Telecom,Unpatched Software,Credit Cards,8197316,Unpatched Software,Fined,USB Drive,2714,Law Enforcement,53,366.86,Yes,11.85,Yes,Low,Accidental,Unencrypted,No,No,8.33,5,162.56,Immediately,Email
2007-11-03,Google,Russia,Healthcare,Data Leak,Phone Numbers,9571930,Data Leak,Public Disclosure,Email,650,Law Enforcement,72,408.92,No,39.05,Yes,Medium,Accidental,Unencrypted,Yes,No,-35.87,10,63.49,Never Disclosed,Email
2001-03-18,Target,Australia,Technology,Insider Threat,"Phone Numbers, SSNs, Credit Cards",4552468,Insider Threat,Fined,Social Engineering,200,Security Tool,66,433.72,No,21.03,No,High,Accidental,Partially Encrypted,Yes,Yes,-37.44,17,294.9,Never Disclosed,Press Release
2022-10-25,Marriott,USA,Retail,Insider Threat,"Credit Cards, Phone Numbers, SSNs",7143693,Insider Threat,Legal Action,API Vulnerability,670,Internal Audit,73,164.41,No,30.54,Yes,Low,None,Partially Encrypted,Yes,Yes,-9.9,62,108.02,Immediately,SMS
2000-07-07,Adobe,China,Healthcare,Unpatched Software,"Emails, Credit Cards, Medical Records",3552851,Unpatched Software,Security Patch,Cloud Misconfig,54,User Report,97,228.25,No,30.19,No,Medium,Accidental,Encrypted,Yes,No,-11.26,30,69.37,Immediately,Email
2020-03-04,Adobe,China,Education,Malware,"Medical Records, Phone Numbers",5318177,Malware,Public Disclosure,USB Drive,56,External Report,2,22.27,Yes,41.49,Yes,High,None,Partially Encrypted,Yes,Yes,-11.46,56,255.83,Delayed,SMS
2017-10-01,Uber,UK,Retail,Insider Threat,"Passwords, Credit Cards, SSNs",3739372,Insider Threat,Public Disclosure,API Vulnerability,3189,Law Enforcement,71,7.27,No,0.31,No,High,Accidental,Unencrypted,No,Yes,-27.94,33,151.16,Delayed,Not Notified
2002-05-11,Yahoo,USA,Hospitality,Ransomware,Phone Numbers,9689078,Ransomware,Increased Monitoring,Social Engineering,2909,User Report,8,92.61,Yes,48.72,Yes,Low,Accidental,Encrypted,Yes,Yes,-6.84,3,225.01,Immediately,Email
2024-04-26,Yahoo,USA,Finance,Insider Threat,"Phone Numbers, Credit Cards, Emails",8524069,Insider Threat,Increased Monitoring,Web Exploit,570,Internal Audit,7,266.49,Yes,32.98,Yes,High,Malicious,Partially Encrypted,Yes,Yes,-45.28,40,69.78,Immediately,Email
2014-05-18,Marriott,Russia,Technology,Weak Passwords,Passwords,2433454,Weak Passwords,Security Patch,Cloud Misconfig,1437,Law Enforcement,96,338.02,No,2.33,No,Low,Accidental,Partially Encrypted,No,No,-34.55,28,104.22,Immediately,SMS
2017-01-02,Equifax,Australia,Telecom,Insider Threat,"Passwords, Medical Records, Usernames",8638065,Insider Threat,Security Patch,Web Exploit,3415,Security Tool,3,244.68,No,26.51,Yes,Low,None,Encrypted,No,Yes,-47.2,48,82.03,Delayed,SMS
2022-02-22,Google,China,Government,Data Leak,"Credit Cards, Medical Records",264472,Data Leak,Security Patch,API Vulnerability,3465,Internal Audit,7,279.17,Yes,15.64,No,Low,Accidental,Encrypted,Yes,Yes,-43.2,27,114.58,Never Disclosed,Not Notified
2002-09-10,Marriott,Russia,Retail,Unpatched Software,"SSNs, Phone Numbers, Medical Records",5595602,Unpatched Software,Public Disclosure,Social Engineering,2032,Law Enforcement,88,488.69,Yes,24.92,No,Medium,Accidental,Partially Encrypted,No,No,4.18,35,113.08,Delayed,Email
2014-09-09,Target,Russia,Telecom,Malware,"Passwords, Phone Numbers",7209852,Malware,Public Disclosure,USB Drive,1539,External Report,33,173.31,No,17.49,No,Low,None,Unencrypted,Yes,No,-5.25,4,36.26,Delayed,Not Notified
2017-12-05,Equifax,Canada,Telecom,Malware,Credit Cards,9329936,Malware,Increased Monitoring,Social Engineering,2791,External Report,42,112.11,Yes,33.79,Yes,Medium,Malicious,Partially Encrypted,Yes,No,-36.69,100,97.94,Immediately,Email
2021-06-24,Facebook,India,Finance,Ransomware,"Passwords, Medical Records, SSNs",3475029,Ransomware,Legal Action,Social Engineering,1251,Security Tool,70,157.33,No,19.16,Yes,High,Accidental,Partially Encrypted,Yes,No,-18.0,48,56.75,Delayed,Email
2013-07-24,Target,USA,Finance,Unpatched Software,"Usernames, Passwords",7127860,Unpatched Software,Public Disclosure,Web Exploit,3103,Security Tool,59,305.41,No,2.66,No,Low,None,Encrypted,Yes,Yes,-1.65,42,146.36,Immediately,Press Release
2020-10-03,Google,Australia,Hospitality,Phishing,Emails,2654870,Phishing,Increased Monitoring,Cloud Misconfig,1080,Law Enforcement,20,423.06,No,12.2,No,Low,None,Encrypted,No,No,-5.9,72,238.82,Immediately,Not Notified
2018-11-06,Marriott,Canada,Healthcare,Phishing,"Emails, Phone Numbers, Usernames",6957538,Phishing,Public Disclosure,Social Engineering,2582,Law Enforcement,46,191.95,No,3.18,No,Medium,Malicious,Encrypted,Yes,No,-26.73,31,242.9,Immediately,Email
2016-04-22,LinkedIn,Russia,Healthcare,Phishing,"Medical Records, Phone Numbers",2908052,Phishing,Security Patch,Email,1479,Internal Audit,100,323.97,No,42.91,Yes,High,Accidental,Unencrypted,Yes,Yes,-9.74,54,264.31,Delayed,Press Release
2004-06-30,Yahoo,France,Government,Weak Passwords,"SSNs, Phone Numbers",1851203,Weak Passwords,Legal Action,Web Exploit,3414,External Report,9,222.57,No,25.67,No,Medium,Accidental,Partially Encrypted,No,Yes,-8.52,67,36.76,Never Disclosed,Not Notified
2015-01-12,Google,China,Retail,Weak Passwords,Credit Cards,685420,Weak Passwords,Fined,USB Drive,2033,External Report,12,138.17,Yes,7.79,No,Medium,Accidental,Encrypted,No,Yes,2.79,77,187.89,Delayed,Not Notified
2003-11-10,Google,Australia,Education,Data Leak,"SSNs, Medical Records",2137416,Data Leak,Security Patch,Email,1803,Internal Audit,80,318.55,No,41.49,Yes,Low,Accidental,Encrypted,Yes,No,-13.42,90,290.11,Immediately,Not Notified
2022-07-13,Target,Russia,Retail,Malware,Credit Cards,7982700,Malware,Increased Monitoring,Web Exploit,402,Security Tool,98,438.35,Yes,6.93,No,Low,None,Partially Encrypted,Yes,No,3.06,53,263.04,Immediately,Email
2014-08-02,Adobe,USA,Retail,Insider Threat,Usernames,2054414,Insider Threat,Increased Monitoring,API Vulnerability,186,Internal Audit,9,25.18,No,36.01,No,Low,Malicious,Unencrypted,No,Yes,-19.84,87,254.75,Immediately,Email
2008-07-12,Facebook,China,Education,Insider Threat,SSNs,4120891,Insider Threat,Security Patch,Email,39,Law Enforcement,96,213.77,No,20.75,No,High,Malicious,Encrypted,Yes,No,-1.89,20,164.83,Delayed,Press Release
2000-11-18,Facebook,USA,Government,Phishing,"Medical Records, Credit Cards",5518785,Phishing,Increased Monitoring,API Vulnerability,2654,Security Tool,97,489.4,No,28.1,No,Medium,Malicious,Encrypted,Yes,No,-42.19,94,129.04,Delayed,SMS
2019-01-21,Adobe,Germany,Finance,Weak Passwords,Phone Numbers,3541766,Weak Passwords,Legal Action,API Vulnerability,3632,Security Tool,66,186.84,No,40.85,Yes,High,None,Unencrypted,No,No,-40.06,85,207.57,Delayed,Press Release
2006-10-01,Target,Brazil,Hospitality,Malware,"Emails, Usernames, Phone Numbers",420449,Malware,Fined,Web Exploit,2180,Law Enforcement,35,30.03,No,17.43,Yes,Medium,None,Unencrypted,No,No,-0.51,16,118.11,Immediately,Press Release
2010-09-14,Uber,Germany,Retail,Ransomware,"Usernames, Medical Records",7846157,Ransomware,Security Patch,Email,3616,User Report,40,83.71,Yes,12.61,No,Medium,Malicious,Partially Encrypted,No,Yes,7.67,76,271.21,Delayed,Email
2000-10-02,Yahoo,UK,Retail,Malware,"SSNs, Passwords, Medical Records",4746161,Malware,Customer Compensation,Social Engineering,773,Law Enforcement,62,105.03,Yes,47.04,Yes,Low,Accidental,Partially Encrypted,Yes,Yes,-40.98,73,66.24,Immediately,Press Release
2000-03-10,Uber,Australia,Hospitality,Ransomware,"Passwords, SSNs, Medical Records",5225798,Ransomware,Customer Compensation,Email,2439,Security Tool,18,457.65,Yes,8.78,No,High,None,Unencrypted,No,No,-15.59,22,237.17,Delayed,Not Notified
2019-02-15,Target,France,Finance,Insider Threat,"Phone Numbers, SSNs",8502325,Insider Threat,Fined,Social Engineering,393,User Report,100,16.35,No,31.78,No,Medium,Accidental,Encrypted,No,Yes,-11.83,14,165.94,Immediately,Not Notified
2001-01-08,Uber,Brazil,Healthcare,Malware,"Passwords, Medical Records",3631599,Malware,Legal Action,Email,1273,Law Enforcement,33,394.64,Yes,44.66,Yes,Low,Accidental,Encrypted,No,Yes,-17.69,60,200.9,Delayed,Press Release
2019-04-19,Yahoo,Australia,Healthcare,Malware,"Usernames, Phone Numbers",8426599,Malware,Legal Action,Social Engineering,3162,Law Enforcement,87,123.52,Yes,35.07,No,Low,None,Partially Encrypted,Yes,Yes,-8.9,91,299.82,Immediately,Email
2021-11-29,Uber,Australia,Government,Malware,Medical Records,640322,Malware,Increased Monitoring,Web Exploit,1419,User Report,68,420.29,No,46.35,No,Low,Malicious,Partially Encrypted,No,No,-6.84,22,36.35,Delayed,Not Notified
2020-08-05,Equifax,UK,Retail,Ransomware,"SSNs, Emails",2143786,Ransomware,Legal Action,USB Drive,1150,Law Enforcement,61,191.23,Yes,49.85,No,High,Accidental,Unencrypted,No,Yes,-24.64,80,270.79,Delayed,Email
2000-06-26,Facebook,China,Hospitality,Ransomware,"Phone Numbers, Usernames, Passwords",8637552,Ransomware,Public Disclosure,API Vulnerability,3594,Security Tool,33,322.2,No,14.55,Yes,Medium,Accidental,Unencrypted,No,Yes,-38.93,13,50.28,Never Disclosed,Email
2003-03-01,Twitter,Australia,Finance,Data Leak,Credit Cards,8613222,Data Leak,Legal Action,USB Drive,2413,Internal Audit,54,25.18,No,5.61,No,Low,Malicious,Unencrypted,No,No,-30.82,56,129.85,Never Disclosed,Email
2002-07-15,Adobe,China,Education,Unpatched Software,Usernames,4562702,Unpatched Software,Security Patch,USB Drive,2542,Internal Audit,29,72.78,Yes,29.31,No,Low,Malicious,Unencrypted,Yes,Yes,-37.44,57,96.34,Never Disclosed,Not Notified
2015-10-22,Marriott,USA,Telecom,Malware,Emails,2449897,Malware,Security Patch,Cloud Misconfig,2354,Law Enforcement,57,358.6,Yes,12.73,No,High,None,Partially Encrypted,No,Yes,-46.19,66,205.93,Delayed,SMS
2013-07-14,Marriott,Australia,Technology,Phishing,Phone Numbers,3230500,Phishing,Legal Action,API Vulnerability,1460,Law Enforcement,8,93.04,Yes,22.87,Yes,Medium,Malicious,Encrypted,No,No,9.17,81,188.95,Never Disclosed,SMS
2009-05-20,Twitter,USA,Government,Insider Threat,Credit Cards,1521775,Insider Threat,Security Patch,Email,313,User Report,72,128.38,No,27.39,Yes,Low,None,Encrypted,Yes,Yes,-34.19,15,215.2,Delayed,Press Release
2007-10-09,LinkedIn,USA,Education,Ransomware,"Medical Records, Credit Cards, Phone Numbers",8839304,Ransomware,Public Disclosure,Web Exploit,1101,External Report,98,174.86,No,35.34,Yes,Low,None,Partially Encrypted,Yes,Yes,-41.2,29,299.82,Delayed,Email
2014-07-14,Target,Canada,Hospitality,Weak Passwords,"Phone Numbers, Credit Cards, SSNs",667518,Weak Passwords,Increased Monitoring,Social Engineering,570,Security Tool,44,105.62,No,18.55,Yes,Low,Malicious,Partially Encrypted,Yes,Yes,-24.73,59,208.72,Delayed,Not Notified
2004-10-16,Google,Germany,Hospitality,Unpatched Software,"Emails, SSNs",7138020,Unpatched Software,Public Disclosure,USB Drive,2083,External Report,40,489.3,No,31.28,Yes,Low,None,Unencrypted,Yes,Yes,2.68,63,284.38,Never Disclosed,Email
2001-05-13,Twitter,Brazil,Telecom,Data Leak,"Passwords, Usernames, Emails",5202657,Data Leak,Fined,API Vulnerability,3461,Internal Audit,87,475.81,Yes,34.34,Yes,High,None,Encrypted,Yes,Yes,-19.92,33,11.13,Immediately,Not Notified
2014-12-22,Facebook,Germany,Technology,Ransomware,"Passwords, SSNs, Medical Records",4924581,Ransomware,Customer Compensation,Social Engineering,2759,User Report,73,350.61,No,49.46,No,Medium,Accidental,Unencrypted,Yes,Yes,-33.84,63,124.28,Delayed,Press Release
2015-07-07,Target,Brazil,Technology,Data Leak,"Usernames, Credit Cards, Phone Numbers",2500309,Data Leak,Increased Monitoring,Web Exploit,2538,Internal Audit,54,94.99,No,12.56,Yes,High,None,Partially Encrypted,Yes,Yes,-33.88,10,144.66,Delayed,Email
2020-03-01,Adobe,Canada,Finance,Data Leak,"Phone Numbers, Usernames",1002114,Data Leak,Customer Compensation,Social Engineering,721,User Report,45,454.17,Yes,6.57,No,Medium,None,Encrypted,No,No,-33.55,91,58.84,Delayed,SMS
2017-12-31,Twitter,Canada,Technology,Insider Threat,SSNs,9768456,Insider Threat,Fined,Cloud Misconfig,2412,User Report,3,115.03,Yes,35.84,No,Medium,Malicious,Encrypted,Yes,No,-4.27,0,225.0,Immediately,Press Release
2004-06-30,LinkedIn,UK,Healthcare,Phishing,"Credit Cards, Phone Numbers, SSNs",2084245,Phishing,Customer Compensation,Web Exploit,1446,Internal Audit,78,465.71,Yes,43.91,No,Medium,Malicious,Encrypted,Yes,Yes,-39.53,44,199.68,Delayed,Press Release
